algorithm,n,run,time_ms,nodes_explored,path_cost
manhattan,5,20,0.05125,94,62
euclidean,5,1,0.436875,94,62
euclidean,5,2,0.047583,94,62
euclidean,5,3,0.051792,94,62
euclidean,5,4,0.049792,94,62
euclidean,5,5,0.049,94,62
euclidean,5,6,0.059542,94,62
euclidean,5,7,0.053125,94,62
euclidean,5,8,0.052125,94,62
euclidean,5,9,0.0565,94,62
euclidean,5,10,0.051417,94,62
euclidean,5,11,0.052708,94,62
euclidean,5,12,0.057792,94,62
euclidean,5,13,0.05375,94,62
euclidean,5,14,0.054292,94,62
euclidean,5,15,0.053292,94,62
euclidean,5,16,0.047208,94,62
euclidean,5,17,0.053125,94,62
euclidean,5,18,0.116625,94,62
euclidean,5,19,0.052583,94,62
euclidean,5,20,0.046959,94,62
chebyshev,5,1,0.049209,94,62
chebyshev,5,2,0.048625,94,62
chebyshev,5,3,0.052458,94,62
chebyshev,5,4,0.046875,94,62
chebyshev,5,5,0.049,94,62
chebyshev,5,6,0.046458,94,62
chebyshev,5,7,0.046208,94,62
chebyshev,5,8,0.045125,94,62
chebyshev,5,9,0.046375,94,62
chebyshev,5,10,0.047334,94,62
chebyshev,5,11,0.052292,94,62
chebyshev,5,12,0.061958,94,62
chebyshev,5,13,0.046666,94,62
chebyshev,5,14,0.046,94,62
chebyshev,5,15,0.054333,94,62
chebyshev,5,16,0.047792,94,62
chebyshev,5,17,0.047625,94,62
chebyshev,5,18,0.046333,94,62
chebyshev,5,19,0.046041,94,62
chebyshev,5,20,0.047084,94,62
manhattan,6,1,0.056875,94,48
manhattan,6,2,0.052042,94,48
manhattan,6,3,0.052416,94,48
manhattan,6,4,0.048791,94,48
manhattan,6,5,0.047667,94,48
manhattan,6,6,0.051959,94,48
manhattan,6,7,0.053792,94,48
manhattan,6,8,0.054083,94,48
manhattan,6,9,0.05025,94,48
manhattan,6,10,0.05275,94,48
manhattan,6,11,0.056625,94,48
manhattan,6,12,0.053209,94,48
manhattan,6,13,0.052542,94,48
manhattan,6,14,0.052792,94,48
manhattan,6,15,0.051875,94,48
manhattan,6,16,0.052792,94,48
manhattan,6,17,0.053083,94,48
manhattan,6,18,0.051417,94,48
manhattan,6,19,0.050833,94,48
manhattan,6,20,0.04875,94,48
euclidean,6,1,0.052417,94,48
euclidean,6,2,0.049542,94,48
euclidean,6,3,0.052209,94,48
euclidean,6,4,0.054292,94,48
