algorithm,n,run,time_ms,nodes_explored,path_cost
chebyshev,6,11,0.046791,94,48
chebyshev,6,12,0.050667,94,48
chebyshev,6,13,0.049666,94,48
chebyshev,6,14,0.0505,94,48
chebyshev,6,15,0.048542,94,48
chebyshev,6,16,0.04725,94,48
chebyshev,6,17,0.047,94,48
chebyshev,6,18,0.049167,94,48
chebyshev,6,19,0.04825,94,48
chebyshev,6,20,0.047166,94,48
manhattan,7,1,0.047333,92,48
manhattan,7,2,0.051917,92,48
manhattan,7,3,0.051,92,48
manhattan,7,4,0.054459,92,48
manhattan,7,5,0.051583,92,48
manhattan,7,6,0.050417,92,48
manhattan,7,7,0.052167,92,48
manhattan,7,8,0.046958,92,48
manhattan,7,9,0.053458,92,48
manhattan,7,10,0.053083,92,48
manhattan,7,11,0.052583,92,48
manhattan,7,12,0.051541,92,48
manhattan,7,13,0.052584,92,48
manhattan,7,14,0.047375,92,48
manhattan,7,15,0.055333,92,48
manhattan,7,16,0.051917,92,48
manhattan,7,17,0.050291,92,48
manhattan,7,18,0.045875,92,48
manhattan,7,19,0.048916,92,48
manhattan,7,20,0.052375,92,48
euclidean,7,1,0.049875,92,48
euclidean,7,2,0.048042,92,48
euclidean,7,3,0.053959,92,48
euclidean,7,4,0.052791,92,48
euclidean,7,5,0.056333,92,48
euclidean,7,6,0.05375,92,48
euclidean,7,7,0.053458,92,48
euclidean,7,8,0.049667,92,48
euclidean,7,9,0.049958,92,48
euclidean,7,10,0.051208,92,48
euclidean,7,11,0.0495,92,48
euclidean,7,12,0.050875,92,48
euclidean,7,13,0.048209,92,48
euclidean,7,14,0.053916,92,48
euclidean,7,15,0.047042,92,48
euclidean,7,16,0.05275,92,48
euclidean,7,17,0.0515,92,48
euclidean,7,18,0.051833,92,48
euclidean,7,19,0.05225,92,48
euclidean,7,20,0.052875,92,48
chebyshev,7,1,0.045167,92,48
chebyshev,7,2,0.05025,92,48
chebyshev,7,3,0.044667,92,48
chebyshev,7,4,0.05025,92,48
chebyshev,7,5,0.047542,92,48
chebyshev,7,6,0.044833,92,48
chebyshev,7,7,0.048334,92,48
chebyshev,7,8,0.047083,92,48
chebyshev,7,9,0.046125,92,48
chebyshev,7,10,0.046208,92,48
chebyshev,7,11,0.047208,92,48
chebyshev,7,12,0.046,92,48
chebyshev,7,13,0.04675,92,48
chebyshev,7,14,0.045,92,48
chebyshev,7,15,0.045708,92,48
chebyshev,7,16,0.047666,92,48
chebyshev,7,17,0.046125,92,48
chebyshev,7,18,0.047667,92,48
chebyshev,7,19,0.050792,92,48
chebyshev,7,20,0.045541,92,48
manhattan,8,1,0.043292,60,50
manhattan,8,2,0.039875,60,50
manhattan,8,3,0.038958,60,50
manhattan,8,4,0.034584,60,50
manhattan,8,5,0.040167,60,50
manhattan,8,6,0.038916,60,50
manhattan,8,7,0.033959,60,50
manhattan,8,8,0.036125,60,50
manhattan,8,9,0.035791,60,50
manhattan,8,10,0.038542,60,50
manhattan,8,11,0.039667,60,50
manhattan,8,12,0.040833,60,50
manhattan,8,13,0.038875,60,50
manhattan,8,14,0.040333,60,50
manhattan,8,15,0.034375,60,50
manhattan,8,16,0.037833,60,50
manhattan,8,17,0.039375,60,50
manhattan,8,18,0.037333,60,50
manhattan,8,19,0.035,60,50
manhattan,8,20,0.038708,60,50
euclidean,8,1,0.044958,68,50
euclidean,8,2,0.044542,68,50
euclidean,8,3,0.041458,68,50
euclidean,8,4,0.041125,68,50
euclidean,8,5,0.038,68,50
euclidean,8,6,0.043875,68,50
euclidean,8,7,0.038208,68,50
euclidean,8,8,0.046875,68,50
euclidean,8,9,0.041292,68,50
euclidean,8,10,0.040959,68,50
euclidean,8,11,0.037875,68,50
euclidean,8,12,0.061042,68,50
euclidean,8,13,0.041834,68,50
euclidean,8,14,0.037916,68,50
euclidean,8,15,0.037542,68,50
euclidean,8,16,0.041208,68,50
euclidean,8,17,0.037709,68,50
euclidean,8,18,0.042375,68,50
euclidean,8,19,0.040875,68,50
euclidean,8,20,0.046667,68,50
chebyshev,8,1,0.035375,69,50
chebyshev,8,2,0.038167,69,50
chebyshev,8,3,0.036541,69,50
chebyshev,8,4,0.037375,69,50
chebyshev,8,5,0.039625,69,50
chebyshev,8,6,0.039416,69,50
chebyshev,8,7,0.036333,69,50
chebyshev,8,8,0.037834,69,50
chebyshev,8,9,0.039875,69,50
chebyshev,8,10,0.036125,69,50
chebyshev,8,11,0.038333,69,50
chebyshev,8,12,0.037333,69,50
chebyshev,8,13,0.037042,69,50
chebyshev,8,14,0.042334,69,50
chebyshev,8,15,0.037875,69,50
chebyshev,8,16,0.03725,69,50
chebyshev,8,17,0.037667,69,50
chebyshev,8,18,0.03925,69,50
chebyshev,8,19,0.038,69,50
chebyshev,8,20,0.040292,69,50
manhattan,9,1,0.043583,62,38
manhattan,9,2,0.042833,62,38
manhattan,9,3,0.042959,62,38
manhattan,9,4,0.041333,62,38
manhattan,9,5,0.036417,62,38
manhattan,9,6,0.041417,62,38
manhattan,9,7,0.043167,62,38
manhattan,9,8,0.043292,62,38
manhattan,9,9,0.04275,62,38
manhattan,9,10,0.03575,62,38
manhattan,9,11,0.036458,62,38
manhattan,9,12,0.042375,62,38
manhattan,9,13,0.041167,62,38
manhattan,9,14,0.042041,62,38
manhattan,9,15,0.043417,62,38
manhattan,9,16,0.037,62,38
manhattan,9,17,0.036208,62,38
manhattan,9,18,0.041833,62,38
manhattan,9,19,0.042667,62,38
manhattan,9,20,0.04125,62,38
euclidean,9,1,0.0455,67,38
euclidean,9,2,0.043792,67,38
euclidean,9,3,0.044,67,38
euclidean,9,4,0.042291,67,38
euclidean,9,5,0.04375,67,38
euclidean,9,6,0.04375,67,38
euclidean,9,7,0.041542,67,38
euclidean,9,8,0.044125,67,38
euclidean,9,9,0.04375,67,38
euclidean,9,10,0.043667,67,38
euclidean,9,11,0.042667,67,38
euclidean,9,12,0.045792,67,38
euclidean,9,13,0.042708,67,38
euclidean,9,14,0.045834,67,38
euclidean,9,15,0.041125,67,38
euclidean,9,16,0.046208,67,38
